CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX,WINNER,TOTAL_VOTES,VOTING_PERCENTAGE
11156,JAI PRAKASH REGAR,39,CHITTORGARH,RAJASTHAN,Ambedkarite Party of India,0,Graduate Professional,1189797,0.6706,0.046,1,4,3,0.0279,2,0,M,0,4233,0.0029
7497,JAI SINGH SIDAR,42,RAIGARH,CHHATTISGARH,Gondvana Gantantra Party,0,8th Pass,1655057,0.7104,0.02,1,3,0,0.0209,3,0,M,0,2545,0.0019
4652,JAIDI CHINNA GANGARAM,42,NIZAMABAD,TELANGANA,Independent,0,Illiterate,10355000,0.665,0.031,1,3,0,-0.0814,1,0,M,0,153,0.0001
10231,JAIDULLAH ANSARI,66,CHATRA,JHARKHAND,Independent,0,Literate,6825000,0.6763,0.026,1,1,0,0.0284,4,0,M,0,13090,0.0141
6824,JAIDUPALLY YADAIAH,48,CHEVELLA,TELANGANA,Independent,0,5th Pass,1000,0.665,0.031,1,3,0,-0.0814,1,0,M,0,1396,0.0011
9033,JAIN RAJENDRAKUMAR ANILKUMAR,32,NAVSARI,GUJARAT,Independent,0,Post Graduate,534450,0.7931,0.048,1,4,4,0.0045,1,0,M,0,2104,0.0016
9275,JAIN WILSON,59,THIRUVANANTHAPURAM,KERALA,Independent,0,Graduate,100000,0.9391,0.037,1,2,3,0.0373,1,0,M,0,199,0.0002
6102,JAIPAL SINGH SAINI,68,MUZAFFARNAGAR,UTTAR PRADESH,Jansatta Party,0,10th Pass,1644000,0.6972,0.147,1,1,1,0.0121,7,0,M,0,949,0.0008
5180,JAISWAL VIRENDRAKUMAR KASTURCHAND,63,BHANDARA GONDIYA,MAHARASHTRA,Independent,0,Graduate Professional,35351774,0.8291,0.088,1,1,3,0.0047,4,0,M,0,2699,0.0022
6962,JAKKU CHENNA KRISHNA REDDY,60,KADAPA,ANDHRA PRADESH,Independent,1,10th Pass,0,0.674,0.046,1,1,1,0.0524,1,0,M,0,579,0.0005
6847,JAKKULA NAVEEN YADAV,25,NALGONDA,TELANGANA,Independent,0,Post Graduate,1004799,0.665,0.031,1,5,4,-0.0814,1,0,M,0,3098,0.0026
8024,JAMES G.,40,THOOTHUKKUDI,TAMIL NADU,Independent,0,10th Pass,2499000,0.8033,0.072,1,3,1,-0.0173,1,0,M,0,407,0.0004
10493,JAMINDAR MARUTI,37,BAGALKOT,KARNATAKA,Karnataka Jantha Paksha,0,Post Graduate,2500000,0.756,0.051,1,4,4,0.0143,2,0,M,0,725,0.0006
6530,JAMIR BASHIR SHAIKH,40,BEED,MAHARASHTRA,Independent,0,10th Pass,220000,0.8291,0.088,1,3,1,0.0047,4,0,M,0,1509,0.0011
6840,JANAIAH NANDIPATI,43,NALGONDA,TELANGANA,Telangana Sakalajanula Party,0,Post Graduate,1518300,0.665,0.031,1,3,4,-0.0814,1,0,M,0,1048,0.0009
12193,JANAK RAJ ATWAL,50,SIRSA,HARYANA,Bahujan Samaj Party,0,Post Graduate,17017000,0.7664,0.018,3,2,4,-0.0311,1,0,M,0,25107,0.0183
